Date,SPY,QQQ,IEF,LQD,GLD
2021-07-22,406.994232,353.209625,101.197403,111.282005,169.089996
2021-07-23,411.181488,357.334198,101.042213,111.232834,168.559998
2021-07-26,412.190826,357.615601,100.973282,110.987038,168.160004
2021-07-27,410.312195,353.675476,101.404274,111.462212,168.440002
2021-07-28,410.143921,355.034119,101.490456,111.658844,169.289993
2021-07-29,411.845032,355.665009,101.180168,111.339348,171.169998
2021-07-30,409.84494,353.811279,101.464577,111.429459,169.820007
2021-08-02,408.985077,353.840485,101.909683,111.751999,169.610001
2021-08-03,412.312408,355.985107,101.935577,111.86692,169.490005
2021-08-04,410.284241,356.499603,101.909683,111.891525,169.529999
2021-08-05,412.882446,358.760803,101.538811,111.431892,168.860001
2021-08-06,413.564789,357.188568,100.943626,110.520905,164.639999
2021-08-09,413.228302,357.848541,100.727959,110.044868,161.720001
2021-08-10,413.742401,356.014313,100.538216,109.798622,161.770004
2021-08-11,414.770447,355.402893,100.650406,109.971024,164.0
2021-08-12,416.013489,356.683929,100.54686,110.126915,164.039993
2021-08-13,416.770508,357.935944,101.124794,110.865593,166.389999
2021-08-16,417.751892,358.091095,101.349045,110.931252,167.220001
2021-08-17,415.013489,354.937073,101.297279,110.734283,166.970001
2021-08-18,410.4711,351.520905,101.245552,110.660423,167.100006
2021-08-19,411.106628,353.219299,101.469788,110.914841,166.610001
2021-08-20,414.377899,356.878082,101.374908,110.988701,166.699997
2021-08-23,418.022949,362.21579,101.400772,111.070824,168.729996
2021-08-24,418.686462,363.322113,101.124794,110.816345,168.649994
2021-08-25,419.565094,363.739319,100.727959,110.529083,167.479996
2021-08-26,417.088318,361.429626,100.727959,110.496284,167.669998
2021-08-27,420.817444,364.942841,101.055756,111.111839,170.190002
2021-08-30,422.66806,369.03833,101.254158,111.300591,169.350006
2021-08-31,422.041901,368.737457,101.0644,111.04615,169.690002
2021-09-01,422.266174,369.348785,101.107536,111.189247,169.699997
2021-09-02,423.565308,369.174103,101.228378,111.386543,169.25
2021-09-03,423.462524,370.309631,100.986694,110.983696,171.059998
2021-09-07,421.948334,370.833618,100.589676,110.45752,167.710007
2021-09-08,421.434418,369.542908,100.86586,110.810997,167.289993
2021-09-09,419.630493,368.271576,101.150696,111.534554,168.029999
2021-09-10,416.32196,365.476624,100.831352,111.213913,167.179993
2021-09-13,417.38739,365.224152,100.952164,111.485252,167.740005
2021-09-14,415.134918,364.185822,101.33197,111.822304,168.820007
2021-09-15,418.602417,366.893524,101.159302,111.690773,167.830002
2021-09-16,417.938751,367.145874,100.839973,111.534554,164.029999
2021-09-17,413.867676,362.798035,100.546471,111.287903,163.770004
2021-09-20,406.966766,355.301331,101.055748,111.633194,164.940002
2021-09-21,406.582245,355.738678,100.995331,111.624939,166.039993
2021-09-22,410.548492,359.061371,101.090279,111.937386,165.419998
2021-09-23,415.536682,362.37442,100.175339,111.164558,163.509995
2021-09-24,416.22113,362.714478,99.873283,110.926125,163.300003
2021-09-27,415.030334,359.819183,99.605698,110.868591,163.639999
2021-09-28,406.666718,349.637177,99.225922,109.684685,162.050003
2021-09-29,407.351105,349.063965,99.329468,109.660004,161.320007
2021-09-30,402.372437,347.781555,99.45034,109.372215,164.220001
2021-10-01,407.154297,349.938446,99.856293,110.167175,164.589996
2021-10-04,401.903564,342.593353,99.735382,109.985947,165.360001
